1 | Tackle | normal | physical | 35 | 50 | 100
269 | Sleep Talk | normal | other | 10 | 0 | 0
270 | Vice Grip | normal | physical | 30 | 55 | 100
271 | Bullet Seed | grass | physical | 30 | 25 | 100
272 | Defend Order | bug | other | 10 | 0 | 0
273 | Hyper Beam | normal | special | 5 | 150 | 90
274 | Snarl | dark | special | 15 | 55 | 95
275 | Heal Pulse | psychic | other | 10 | 0 | 0
276 | Meteor Mash | steel | physical | 10 | 90 | 90
277 | Sweet Kiss | fairy | other | 10 | 0 | 75
278 | Stomp | normal | physical | 20 | 65 | 100
279 | Soft-Boiled | normal | other | 10 | 0 | 0
280 | Hone Claws | dark | other | 15 | 0 | 0
281 | Fusion Bolt | electric | physical | 5 | 100 | 100
282 | Drain Punch | fighting | physical | 10 | 75 | 100
283 | Focus Energy | normal | other | 30 | 0 | 0
284 | Chatter | flying | special | 20 | 65 | 100
285 | Pound | normal | physical | 35 | 40 | 100
286 | Disarming Voice | fairy | special | 15 | 40 | 0
287 | Dizzy Punch | normal | physical | 10 | 70 | 100
288 | Muddy Water | water | special | 10 | 90 | 85
289 | Ice Shard | ice | physical | 30 | 40 | 100
290 | Withdraw | water | other | 40 | 0 | 0
291 | Slash | normal | physical | 20 | 70 | 100
292 | Lovely Kiss | normal | other | 10 | 0 | 75
293 | Razor Shell | water | physical | 10 | 75 | 95
294 | Leer | normal | other | 30 | 0 | 100
295 | Rock Polish | rock | other | 20 | 0 | 0
296 | Crush Claw | normal | physical | 10 | 75 | 95
297 | Light Screen | psychic | other | 30 | 0 | 0
298 | Play Rough | fairy | physical | 10 | 90 | 90
299 | Low Kick | fighting | physical | 20 | 1 | 100
300 | Slack Off | normal | other | 10 | 0 | 0
301 | Mud Sport | ground | other | 15 | 0 | 0
302 | Iron Defense | steel | other | 15 | 0 | 0
303 | Role Play | psychic | other | 10 | 0 | 0
304 | Spike Cannon | normal | physical | 15 | 20 | 100
305 | Earthquake | ground | physical | 10 | 100 | 100
306 | Flame Wheel | fire | physical | 25 | 60 | 100
307 | Amnesia | psychic | other | 20 | 0 | 0
308 | Egg Bomb | normal | physical | 10 | 100 | 75
309 | Sludge Bomb | poison | special | 10 | 90 | 100
310 | Spikes | ground | other | 20 | 0 | 0
311 | Bolt Strike | electric | physical | 5 | 130 | 85
312 | Payback | dark | physical | 10 | 50 | 100
313 | Judgment | normal | special | 10 | 100 | 100
314 | Heal Order | bug | other | 10 | 0 | 0
315 | Dragon Claw | dragon | physical | 15 | 80 | 100
316 | Conversion | normal | other | 30 | 0 | 0
317 | Water Sport | water | other | 15 | 0 | 0
318 | Iron Head | steel | physical | 15 | 80 | 100
319 | Bide | normal | physical | 10 | 1 | 0
320 | Helping Hand | normal | other | 20 | 0 | 0
321 | Dive | water | physical | 10 | 80 | 100
322 | Barrier | psychic | other | 20 | 0 | 0
323 | Substitute | normal | other | 10 | 0 | 0
324 | Drill Peck | flying | physical | 20 | 80 | 100
325 | Cotton Spore | grass | other | 40 | 0 | 100
326 | Mind Reader | normal | other | 5 | 0 | 0
327 | Spit Up | normal | special | 10 | 1 | 100
328 | Tail Glow | bug | other | 20 | 0 | 0
329 | Feint Attack | dark | physical | 20 | 60 | 0
330 | Hidden Power | normal | special | 15 | 60 | 100
331 | Final Gambit | fighting | special | 5 | 1 | 100
332 | Struggle Bug | bug | special | 20 | 50 | 100
333 | Sludge Wave | poison | special | 10 | 95 | 100
334 | Hammer Arm | fighting | physical | 10 | 100 | 90
335 | Follow Me | normal | other | 20 | 0 | 0
336 | Beat Up | dark | physical | 10 | 1 | 100
337 | Healing Wish | psychic | other | 10 | 0 | 0
338 | Fissure | ground | physical | 5 | 1 | 30
339 | Minimize | normal | other | 10 | 0 | 0
340 | Taunt | dark | other | 20 | 0 | 100
341 | Fling | dark | physical | 10 | 1 | 100
342 | Safeguard | normal | other | 25 | 0 | 0
343 | Revenge | fighting | physical | 10 | 60 | 100
344 | X-Scissor | bug | physical | 15 | 80 | 100
345 | Pursuit | dark | physical | 20 | 40 | 100
346 | Fake Out | normal | physical | 10 | 40 | 100
347 | Smack Down | rock | physical | 15 | 50 | 100
348 | Power-Up Punch | fighting | physical | 20 | 40 | 100
349 | Haze | ice | other | 30 | 0 | 0
350 | Super Fang | normal | physical | 10 | 1 | 90
351 | Celebrate | normal | other | 40 | 0 | 0
352 | Cross Poison | poison | physical | 20 | 70 | 100
353 | Aqua Jet | water | physical | 20 | 40 | 100
354 | Quick Attack | normal | physical | 30 | 40 | 100
355 | Icicle Spear | ice | physical | 30 | 25 | 100
356 | Will-O-Wisp | fire | other | 15 | 0 | 85
357 | Assurance | dark | physical | 10 | 60 | 100
358 | Explosion | normal | physical | 5 | 250 | 100
359 | Poison Jab | poison | physical | 20 | 80 | 100
360 | Attack Order | bug | physical | 15 | 90 | 100
361 | Wing Attack | flying | physical | 35 | 60 | 100
362 | Covet | normal | physical | 25 | 60 | 100
363 | Body Slam | normal | physical | 15 | 85 | 100
364 | Clear Smog | poison | special | 15 | 50 | 0
365 | Dual Chop | dragon | physical | 15 | 40 | 90
366 | Water Pledge | water | special | 10 | 80 | 100
367 | Fire Punch | fire | physical | 15 | 75 | 100
368 | Double Slap | normal | physical | 10 | 15 | 85
369 | Punishment | dark | physical | 5 | 1 | 100
370 | Ice Punch | ice | physical | 15 | 75 | 100
371 | Double Team | normal | other | 15 | 0 | 0
372 | Rage | normal | physical | 20 | 20 | 100
373 | Stealth Rock | rock | other | 20 | 0 | 0
374 | Fell Stinger | bug | physical | 25 | 30 | 100
375 | Dragon Ascent | flying | physical | 5 | 120 | 100
376 | Land's Wrath | ground | physical | 10 | 90 | 100
377 | Reflect Type | normal | other | 15 | 0 | 0
378 | Rock Blast | rock | physical | 10 | 25 | 90
379 | Water Spout | water | special | 5 | 150 | 100
380 | Hyperspace Fury | dark | physical | 5 | 100 | 0
381 | Surf | water | special | 15 | 90 | 100
382 | Endeavor | normal | physical | 5 | 1 | 100
383 | Tri Attack | normal | special | 10 | 80 | 100
384 | Nuzzle | electric | physical | 20 | 20 | 100
385 | Iron Tail | steel | physical | 15 | 100 | 75
386 | Ice Fang | ice | physical | 15 | 65 | 95
387 | Poison Powder | poison | other | 35 | 0 | 75
388 | Work Up | normal | other | 30 | 0 | 0
389 | Sketch | normal | other | 1 | 0 | 0
390 | Bulldoze | ground | physical | 20 | 60 | 100
391 | Fake Tears | dark | other | 20 | 0 | 100
392 | Leech Life | bug | physical | 15 | 20 | 100
393 | Sand Tomb | ground | physical | 15 | 35 | 85
394 | Fly | flying | physical | 15 | 90 | 95
395 | Cut | normal | physical | 30 | 50 | 95
396 | Comet Punch | normal | physical | 15 | 18 | 85
397 | Rain Dance | water | other | 5 | 0 | 0
398 | Wood Hammer | grass | physical | 15 | 120 | 100
399 | Incinerate | fire | special | 15 | 60 | 100
400 | False Swipe | normal | physical | 40 | 40 | 100
401 | Bug Bite | bug | physical | 20 | 60 | 100
402 | Poison Tail | poison | physical | 25 | 50 | 100
403 | Rollout | rock | physical | 20 | 30 | 90
404 | Topsy-Turvy | dark | other | 20 | 0 | 100
405 | Camouflage | normal | other | 20 | 0 | 0
406 | Shell Smash | normal | other | 15 | 0 | 0
407 | Sleep Powder | grass | other | 15 | 0 | 75
408 | Metal Claw | steel | physical | 35 | 50 | 95
409 | Thousand Waves | ground | physical | 10 | 90 | 100
410 | Flare Blitz | fire | physical | 15 | 120 | 100
411 | Copycat | normal | other | 20 | 0 | 0
412 | Flower Shield | fairy | other | 10 | 0 | 0
413 | Coil | poison | other | 20 | 0 | 0
414 | Water Pulse | water | special | 20 | 60 | 100
415 | Bonemerang | ground | physical | 10 | 50 | 90
416 | Electroweb | electric | special | 15 | 55 | 95
417 | Uproar | normal | special | 10 | 90 | 100
418 | Poison Fang | poison | physical | 15 | 50 | 100
419 | Needle Arm | grass | physical | 15 | 60 | 100
420 | Pin Missile | bug | physical | 20 | 25 | 95
421 | Hypnosis | psychic | other | 20 | 0 | 60
422 | Morning Sun | normal | other | 5 | 0 | 0
423 | Rock Smash | fighting | physical | 15 | 40 | 100
424 | Charm | fairy | other | 20 | 0 | 100
425 | Vine Whip | grass | physical | 25 | 45 | 100
426 | Psycho Cut | psychic | physical | 20 | 70 | 100
427 | Magnet Bomb | steel | physical | 20 | 60 | 0
428 | Swords Dance | normal | other | 20 | 0 | 0
429 | Aromatic Mist | fairy | other | 20 | 0 | 100
430 | Waterfall | water | physical | 15 | 80 | 100
431 | Steam Eruption | water | special | 5 | 110 | 95
432 | Spacial Rend | dragon | special | 5 | 100 | 95
433 | Present | normal | physical | 15 | 1 | 90
434 | Foul Play | dark | physical | 15 | 95 | 100
435 | Thousand Arrows | ground | physical | 10 | 90 | 100
436 | Fire Fang | fire | physical | 15 | 65 | 95
437 | Defog | flying | other | 15 | 0 | 0
438 | Gunk Shot | poison | physical | 5 | 120 | 80
439 | Rapid Spin | normal | physical | 40 | 20 | 100
440 | Torment | dark | other | 15 | 0 | 100
441 | Flash | normal | other | 20 | 0 | 100
442 | Metal Burst | steel | physical | 10 | 1 | 100
443 | Fury Cutter | bug | physical | 20 | 40 | 95
444 | Brave Bird | flying | physical | 15 | 120 | 100
445 | Roost | flying | other | 10 | 0 | 0
446 | Silver Wind | bug | special | 5 | 60 | 100
447 | Origin Pulse | water | special | 10 | 110 | 85
448 | Noble Roar | normal | other | 30 | 0 | 100
449 | Bubble Beam | water | special | 20 | 65 | 100
450 | Petal Dance | grass | special | 10 | 120 | 100
451 | Charge | electric | other | 20 | 0 | 0
452 | Poison Sting | poison | physical | 35 | 15 | 100
453 | Steel Wing | steel | physical | 25 | 70 | 90
454 | Thunder Punch | electric | physical | 15 | 75 | 100
455 | Heal Block | psychic | other | 15 | 0 | 100
456 | Ancient Power | rock | special | 5 | 60 | 100
457 | Refresh | normal | other | 20 | 0 | 0
458 | Whirlwind | normal | other | 20 | 0 | 0
459 | Flame Charge | fire | physical | 20 | 50 | 100
460 | Petal Blizzard | grass | physical | 15 | 90 | 100
461 | Gyro Ball | steel | physical | 5 | 1 | 100
462 | Electro Ball | electric | special | 10 | 1 | 100
463 | Dazzling Gleam | fairy | special | 10 | 80 | 100
464 | Hydro Cannon | water | special | 5 | 150 | 90
465 | Whirlpool | water | special | 15 | 35 | 85
466 | Mirror Shot | steel | special | 10 | 65 | 85
467 | Thunder | electric | special | 10 | 110 | 70
468 | Avalanche | ice | physical | 10 | 60 | 100
469 | V-create | fire | physical | 5 | 180 | 95
470 | Aerial Ace | flying | physical | 20 | 60 | 0
471 | Recover | normal | other | 10 | 0 | 0
472 | Chip Away | normal | physical | 20 | 70 | 100
473 | Smokescreen | normal | other | 20 | 0 | 100
474 | Round | normal | special | 15 | 60 | 100
475 | Spark | electric | physical | 20 | 65 | 100
476 | Precipice Blades | ground | physical | 10 | 120 | 85
477 | Diamond Storm | rock | physical | 5 | 100 | 95
478 | Shock Wave | electric | special | 20 | 60 | 0
479 | Venoshock | poison | special | 10 | 65 | 100
480 | Hail | ice | other | 10 | 0 | 0
481 | Take Down | normal | physical | 20 | 90 | 85
482 | Acid Spray | poison | special | 20 | 40 | 100
483 | Volt Switch | electric | special | 20 | 70 | 100
484 | Sacred Fire | fire | physical | 5 | 100 | 95
485 | Ember | fire | special | 25 | 40 | 100
486 | Heart Stamp | psychic | physical | 25 | 60 | 100
487 | Happy Hour | normal | other | 30 | 0 | 0
488 | Swallow | normal | other | 10 | 0 | 0
489 | Mimic | normal | other | 10 | 0 | 0
490 | Water Shuriken | water | physical | 20 | 15 | 100
491 | Fire Spin | fire | special | 15 | 35 | 85
492 | Psystrike | psychic | special | 10 | 100 | 100
493 | Roar of Time | dragon | special | 5 | 150 | 90
494 | Mud Shot | ground | special | 15 | 55 | 95
495 | Ice Burn | ice | special | 5 | 140 | 90
496 | Guard Swap | psychic | other | 10 | 0 | 0
497 | Extrasensory | psychic | special | 20 | 80 | 100
498 | Fire Blast | fire | special | 5 | 110 | 85
499 | Icicle Crash | ice | physical | 10 | 85 | 90
500 | Thrash | normal | physical | 10 | 120 | 100
501 | Sky Attack | flying | physical | 5 | 140 | 90
502 | Blast Burn | fire | special | 5 | 150 | 90
503 | Dragon Breath | dragon | special | 20 | 60 | 100
504 | Mega Drain | grass | special | 15 | 40 | 100
505 | Psyshock | psychic | special | 10 | 80 | 100
506 | Boomburst | normal | special | 10 | 140 | 100
507 | Switcheroo | dark | other | 10 | 0 | 100
508 | Dragon Rage | dragon | special | 10 | 1 | 100
509 | Fusion Flare | fire | special | 5 | 100 | 100
510 | Twineedle | bug | physical | 20 | 25 | 100
511 | Gastro Acid | poison | other | 10 | 0 | 100
512 | Bounce | flying | physical | 5 | 85 | 85
513 | Fire Pledge | fire | special | 10 | 80 | 100
514 | Twister | dragon | special | 20 | 40 | 100
515 | Absorb | grass | special | 25 | 20 | 100
516 | Spiky Shield | grass | other | 10 | 0 | 0
517 | Charge Beam | electric | special | 10 | 50 | 90
518 | Head Smash | rock | physical | 5 | 150 | 80
519 | Giga Drain | grass | special | 10 | 75 | 100
520 | Light of Ruin | fairy | special | 5 | 140 | 90
521 | Mystical Fire | fire | special | 10 | 65 | 100
522 | Acrobatics | flying | physical | 15 | 55 | 100
523 | Wrap | normal | physical | 20 | 15 | 90
524 | Overheat | fire | special | 5 | 130 | 90
525 | Quash | dark | other | 15 | 0 | 100
526 | Sandstorm | rock | other | 10 | 0 | 0
527 | Earth Power | ground | special | 10 | 90 | 100
528 | Power Split | psychic | other | 10 | 0 | 0
529 | Dark Pulse | dark | special | 15 | 80 | 100
530 | Flame Burst | fire | special | 15 | 70 | 100
531 | Aurora Beam | ice | special | 20 | 65 | 100
532 | Peck | flying | physical | 35 | 35 | 100
533 | Wonder Room | psychic | other | 10 | 0 | 0
534 | Geomancy | fairy | other | 10 | 0 | 0
535 | Blue Flare | fire | special | 5 | 130 | 85
536 | Night Daze | dark | special | 10 | 85 | 95
